,0-20170913-cnn_three_mean,0-20170927-cnn_one_mean,1-20170913-cnn_three_mean,1-20170927-cnn_one_mean,2-20170913-cnn_three_mean,2-20170927-cnn_one_mean,down,up,target_price_change1,target_price_change3,target_price_change5
000001,0.030303530395030975,0.06653820723295212,0.6059541702270508,0.7803279161453247,0.36374226212501526,0.15313385426998138,0.0968417376279831,0.5168761163949966,0.44,0.29666666666666663,-0.20400000000000001
000002,0.3240753710269928,0.08576533198356628,0.4375147521495819,0.5734372138977051,0.2384098768234253,0.34079745411872864,0.4098407030105591,0.5792073309421539,-0.69,-0.9166666666666666,1.2440000000000002
000004,0.48037004470825195,0.05000278353691101,0.47482073307037354,0.9016676545143127,0.04480919986963272,0.048329610377550125,0.530372828245163,0.09313881024718285,0.45,0.36000000000000004,0.49000000000000005
000005,0.01607484184205532,0.0015862147556617856,0.9724867939949036,0.9838222861289978,0.011438309215009212,0.014591512270271778,0.017661056597717106,0.02602982148528099,10.0,2.9933333333333336,1.306
000006,0.10415748506784439,0.17374876141548157,0.7608199715614319,0.6553500294685364,0.13502252101898193,0.17090125381946564,0.27790624648332596,0.30592377483844757,5.46,,
000008,0.01538409385830164,0.008937573991715908,0.9446760416030884,0.9134166240692139,0.03993985429406166,0.07764580845832825,0.024321667850017548,0.11758566275238991,1.58,0.65,0.5599999999999999
000009,0.05607384443283081,0.010139454156160355,0.9019815325737,0.9416947960853577,0.04194461554288864,0.04816579818725586,0.06621329858899117,0.0901104137301445,2.68,1.59,0.9880000000000001
000010,0.017738275229930878,0.009624498896300793,0.9595382809638977,0.96564120054245,0.02272343635559082,0.024734336882829666,0.02736277412623167,0.047457773238420486,2.35,0.08000000000000007,-0.06999999999999995
000011,0.20502397418022156,0.13755099475383759,0.43719613552093506,0.7335569262504578,0.3577798902988434,0.1288919895887375,0.34257496893405914,0.48667187988758087,9.98,2.233333333333334,1.1900000000000002
000012,0.1079150140285492,0.013161322101950645,0.8187106251716614,0.8339057564735413,0.07337437570095062,0.15293295681476593,0.12107633613049984,0.22630733251571655,-0.23,-0.11666666666666665,0.766
000014,0.06193272024393082,0.030640535056591034,0.9047232866287231,0.9066239595413208,0.03334399685263634,0.06273553520441055,0.09257325530052185,0.09607953205704689,6.89,0.66,0.454
000016,0.13256794214248657,0.2081356793642044,0.8217328190803528,0.5974336862564087,0.04569912701845169,0.1944306343793869,0.340703621506691,0.2401297613978386,0.49,-0.98,-0.18
000017,0.003001325996592641,0.0006714873015880585,0.9353477358818054,0.9760295748710632,0.06165098398923874,0.023298967629671097,0.0036728132981806993,0.08494995161890984,1.11,0.5333333333333333,0.002000000000000024
000018,0.03280093893408775,0.1263330578804016,0.9155983924865723,0.8389462828636169,0.05160069838166237,0.03472062572836876,0.15913399681448936,0.08632132411003113,-0.5,-0.37666666666666665,-0.09799999999999998
000021,0.07234415411949158,0.02825864776968956,0.7505643367767334,0.9257310032844543,0.1770915389060974,0.04601029306650162,0.10060280188918114,0.22310183197259903,1.42,-0.2433333333333334,-0.14600000000000005
000022,0.013117162510752678,0.07563792914152145,0.9505263566970825,0.8285238742828369,0.03635641932487488,0.09583817422389984,0.08875509165227413,0.13219459354877472,1.19,0.43333333333333335,0.15800000000000003
000023,0.02592708170413971,0.08801630884408951,0.9570971131324768,0.8561437726020813,0.01697579398751259,0.05583993345499039,0.11394339054822922,0.07281572744250298,8.17,0.8400000000000002,0.5360000000000001
000025,0.1160082146525383,0.0024655358865857124,0.8314172029495239,0.9554343223571777,0.05257461220026016,0.0421002171933651,0.11847375053912401,0.09467482939362526,1.09,-0.013333333333333308,-0.30999999999999994
000026,0.045235395431518555,0.001775457989424467,0.9389440417289734,0.9878581762313843,0.015820536762475967,0.010366307571530342,0.04701085342094302,0.02618684433400631,1.69,0.23333333333333328,-0.028000000000000046
000027,0.0010264951270073652,0.0012784289428964257,0.9853107929229736,0.988520622253418,0.013662762008607388,0.010200941003859043,0.002304924069903791,0.02386370301246643,1.37,0.1066666666666667,0.03400000000000002
000028,0.10803325474262238,0.1300864815711975,0.8232154846191406,0.7240047454833984,0.06875123828649521,0.14590872824192047,0.23811973631381989,0.21465996652841568,-2.37,-1.0966666666666667,-0.484
000030,0.114307701587677,0.009012361988425255,0.8418130278587341,0.9243654608726501,0.04387933388352394,0.06662219762802124,0.12332006357610226,0.11050153151154518,-2.04,-0.04666666666666671,-0.374
000036,0.07465753704309464,0.009879778139293194,0.8822306394577026,0.8982481956481934,0.04311187565326691,0.09187198430299759,0.08453731518238783,0.1349838599562645,-0.44,-0.9499999999999998,-0.38999999999999996
000037,0.13678069412708282,0.053323131054639816,0.8394286632537842,0.9134400486946106,0.023790637031197548,0.033236753195524216,0.19010382518172264,0.057027390226721764,-0.22,0.046666666666666634,0.27399999999999997
000039,0.021881578490138054,0.04897776618599892,0.931083083152771,0.9003956317901611,0.04703536257147789,0.050626643002033234,0.07085934467613697,0.09766200557351112,-0.75,-0.11333333333333336,-0.06800000000000002
000040,0.05111297219991684,0.005073287524282932,0.7531381845474243,0.9713166356086731,0.19574885070323944,0.02361002191901207,0.05618625972419977,0.2193588726222515,2.47,0.3100000000000001,0.24000000000000007
000042,0.014784654602408409,0.03558405488729477,0.9159567952156067,0.872992992401123,0.06925854831933975,0.09142298251390457,0.05036870948970318,0.16068153083324432,0.76,0.02333333333333328,0.284
000043,0.061782676726579666,0.002527662320062518,0.8055563569068909,0.8441731929779053,0.13266092538833618,0.15329909324645996,0.06431033904664218,0.28596001863479614,1.79,0.44333333333333336,0.30800000000000005
000045,0.45045334100723267,0.10806966572999954,0.3855624198913574,0.6543926000595093,0.16398420929908752,0.23753772675991058,0.5585230067372322,0.4015219360589981,2.76,-0.49,-0.442
000046,0.029385948553681374,0.030461737886071205,0.9062405824661255,0.9399943947792053,0.06437341868877411,0.02954379841685295,0.05984768643975258,0.09391721710562706,-0.49,-0.20333333333333334,-0.16999999999999998
000048,0.12480008602142334,0.06062183529138565,0.7238955497741699,0.7458028793334961,0.15130431950092316,0.19357524812221527,0.185421921312809,0.3448795676231384,-2.05,-1.6499999999999997,-1.3659999999999997
000049,0.040520988404750824,0.048766519874334335,0.6780257225036621,0.8780278563499451,0.28145334124565125,0.07320566475391388,0.08928750827908516,0.3546590059995651,-0.75,0.9466666666666667,-0.75
000050,0.16467313468456268,0.024441830813884735,0.701197624206543,0.8516994714736938,0.13412930071353912,0.12385872006416321,0.18911496549844742,0.25798802077770233,1.75,1.9533333333333331,-0.2180000000000001
000055,0.2964916527271271,0.03214739263057709,0.6403641700744629,0.9331856966018677,0.06314422935247421,0.03466685488820076,0.32863904535770416,0.09781108424067497,0.65,0.6666666666666666,0.21999999999999997
000056,0.02336977794766426,0.023422308266162872,0.9549199342727661,0.9592152833938599,0.02171022817492485,0.017362352460622787,0.04679208621382713,0.03907258063554764,0.41,-0.18666666666666668,0.738
000058,0.4504770338535309,0.01808127947151661,0.4663473665714264,0.9443534016609192,0.08317562192678452,0.037565331906080246,0.4685583133250475,0.12074095383286476,2.82,-0.0633333333333334,-0.38
000059,0.005272754933685064,0.0012713797623291612,0.877997100353241,0.9149200320243835,0.11673015356063843,0.08380860835313797,0.0065441346960142255,0.2005387619137764,-0.34,1.32,0.458
000060,0.13439428806304932,0.14059458673000336,0.8058517575263977,0.6515232920646667,0.059753987938165665,0.20788216590881348,0.2749888747930527,0.26763615384697914,0.47,0.5233333333333333,-0.17400000000000002
000062,0.03304938226938248,0.038390252739191055,0.8253580331802368,0.52864009141922,0.14159251749515533,0.43296968936920166,0.07143963500857353,0.574562206864357,1.18,-0.8700000000000001,-0.8280000000000001
000063,0.04904770851135254,0.1427343189716339,0.7480435371398926,0.6434312462806702,0.2029087394475937,0.2138345092535019,0.19178202748298645,0.4167432487010956,3.64,0.6733333333333333,0.092
000065,0.09326021373271942,0.022114334627985954,0.8761278390884399,0.9641575217247009,0.030611960217356682,0.0137281883507967,0.11537454836070538,0.04434014856815338,0.04,-0.6699999999999999,-0.35799999999999993
