,0-20170913-cnn_three_mean,0-20170927-cnn_one_mean,1-20170913-cnn_three_mean,1-20170927-cnn_one_mean,2-20170913-cnn_three_mean,2-20170927-cnn_one_mean,down,up,target_price_change1,target_price_change3,target_price_change5
000001,0.10904346406459808,0.07158469408750534,0.7546143531799316,0.8793472647666931,0.13634216785430908,0.04906809702515602,0.18062815815210342,0.1854102648794651,-0.17,-0.04999999999999997,-0.484
000002,0.2004309594631195,0.08898469060659409,0.6512246131896973,0.7933290004730225,0.14834438264369965,0.11768629401922226,0.2894156500697136,0.2660306766629219,-0.07,0.54,-1.05
000004,0.030926356092095375,0.00858839601278305,0.7889049649238586,0.8779956102371216,0.18016864359378815,0.11341600865125656,0.039514752104878426,0.2935846522450447,-0.88,-0.3766666666666667,-0.554
000005,0.05801502615213394,0.0776909738779068,0.9132969975471497,0.8927043676376343,0.028688041493296623,0.029604759067296982,0.13570600003004074,0.058292800560593605,0.21,-0.71,-0.6839999999999999
000008,0.10764707624912262,0.0850495994091034,0.851841151714325,0.8196811079978943,0.04051169753074646,0.0952693298459053,0.192696675658226,0.13578102737665176,-1.18,-0.42999999999999994,-0.21399999999999997
000009,0.13687542080879211,0.09567402303218842,0.6988399624824524,0.8084738254547119,0.16428466141223907,0.09585215151309967,0.23254944384098053,0.26013681292533875,0.74,-0.5366666666666667,-0.646
000010,0.13549990952014923,0.0751713439822197,0.7943500876426697,0.8283639550209045,0.07015000283718109,0.09646472334861755,0.21067125350236893,0.16661472618579865,0.17,-1.1633333333333333,-0.25200000000000006
000011,0.14596226811408997,0.02938576601445675,0.7536835670471191,0.6197265982627869,0.10035418719053268,0.35088762640953064,0.17534803412854671,0.4512418136000633,3.15,0.65,0.18200000000000002
000012,0.1041530892252922,0.03460892289876938,0.8167972564697266,0.9096503257751465,0.0790497288107872,0.05574079975485802,0.13876201212406158,0.13479052856564522,2.73,1.6366666666666667,0.8640000000000001
000014,0.0266954954713583,0.011977829039096832,0.9542399644851685,0.9760704636573792,0.019064579159021378,0.011951642110943794,0.03867332451045513,0.031016221269965172,2.43,0.3433333333333333,0.12000000000000002
000016,0.3882051110267639,0.1557845175266266,0.55962073802948,0.42446842789649963,0.05217418074607849,0.41974714398384094,0.5439896285533905,0.47192132472991943,1.0,-0.32666666666666666,0.508
000017,0.22087424993515015,0.035414740443229675,0.7117810845375061,0.9462945461273193,0.06734468787908554,0.018290607258677483,0.2562889903783798,0.08563529513776302,0.68,-0.7266666666666666,-0.46399999999999997
000018,0.02132466435432434,0.030199766159057617,0.9627746939659119,0.9382314085960388,0.015900589525699615,0.03156883642077446,0.05152443051338196,0.047469425946474075,1.11,0.18666666666666673,-0.10999999999999996
000021,0.10248884558677673,0.029357610270380974,0.8219960927963257,0.8618710041046143,0.07551506161689758,0.10877139866352081,0.1318464558571577,0.1842864602804184,3.93,0.9866666666666667,1.422
