,0-20170913-cnn_three_mean,0-20170927-cnn_one_mean,1-20170913-cnn_three_mean,1-20170927-cnn_one_mean,2-20170913-cnn_three_mean,2-20170927-cnn_one_mean,down,up,target_price_change1,target_price_change3,target_price_change5
000001,0.1137668639421463,0.06258437037467957,0.7754158973693848,0.7608979344367981,0.11081725358963013,0.17651772499084473,0.17635123431682587,0.28733497858047485,0.61,3.3766666666666665,1.932
000002,0.029197702184319496,0.03388620540499687,0.642644464969635,0.8477391004562378,0.32815787196159363,0.11837471276521683,0.06308390758931637,0.44653258472681046,-0.14,3.2866666666666666,1.6800000000000002
000004,0.3133758008480072,0.4041531980037689,0.48330092430114746,0.48707565665245056,0.20332318544387817,0.10877116769552231,0.7175289988517761,0.3120943531394005,0.25,2.94,0.3799999999999999
000005,0.02397567592561245,0.021548431366682053,0.925636351108551,0.910197913646698,0.05038805678486824,0.06825356185436249,0.0455241072922945,0.11864161863923073,-1.08,-1.2366666666666666,-1.874
000008,0.045519717037677765,0.1110350489616394,0.9087523221969604,0.8510687947273254,0.04572805389761925,0.037896208465099335,0.15655476599931717,0.08362426236271858,-1.45,-0.44333333333333336,-0.288
000009,0.03258705884218216,0.009618397802114487,0.9012045860290527,0.936062753200531,0.06620841473340988,0.05431884527206421,0.042205456644296646,0.12052726000547409,-3.48,-0.7133333333333333,-0.6619999999999999
000010,0.20134401321411133,0.014742108061909676,0.6306915283203125,0.9691992998123169,0.16796448826789856,0.016058558598160744,0.216086121276021,0.1840230468660593,-5.87,-2.4600000000000004,-0.9760000000000002
000011,0.015867087990045547,0.02910611592233181,0.9576359987258911,0.9387168288230896,0.02649691142141819,0.03217703104019165,0.04497320391237736,0.05867394246160984,-5.26,-1.3199999999999998,-1.7600000000000002
000012,0.14550724625587463,0.4496307373046875,0.7855465412139893,0.536154568195343,0.06894618272781372,0.014214676804840565,0.5951379835605621,0.08316085953265429,-3.28,0.23000000000000012,0.3460000000000001
000014,0.006598521489650011,0.01568681187927723,0.9642777442932129,0.9607152342796326,0.029123671352863312,0.023597972467541695,0.02228533336892724,0.052721643820405006,-0.5,-1.86,-3.838
000016,0.007618275936692953,0.04973059892654419,0.5843037962913513,0.5443520545959473,0.40807798504829407,0.40591734647750854,0.05734887486323714,0.8139953315258026,-2.12,0.47000000000000003,-0.9259999999999999
000017,0.03035152517259121,0.0491434745490551,0.8597757816314697,0.8874779343605042,0.10987269878387451,0.06337863951921463,0.07949499972164631,0.17325133830308914,-3.66,-2.3066666666666666,-1.9100000000000001
000018,0.014441683888435364,0.021549539640545845,0.9626610279083252,0.9200226068496704,0.022897202521562576,0.0584278330206871,0.03599122352898121,0.08132503554224968,-2.82,-0.9833333333333334,-0.3480000000000001
000021,0.1272980123758316,0.2118699699640274,0.6872789263725281,0.6297826766967773,0.18542303144931793,0.15834736824035645,0.339167982339859,0.3437703996896744,-4.96,-0.68,-1.138
000022,0.05439097806811333,0.015162049792706966,0.9205273985862732,0.857519805431366,0.025081586092710495,0.1273181140422821,0.0695530278608203,0.1523997001349926,0.0,,
000023,0.08591695874929428,0.10232789069414139,0.7125725150108337,0.8147730231285095,0.20151053369045258,0.0828990489244461,0.18824484944343567,0.2844095826148987,-0.48,-0.1433333333333334,-0.13000000000000003
000025,0.3148173987865448,0.07503382116556168,0.6702415347099304,0.8853436708450317,0.014941125176846981,0.0396224707365036,0.3898512199521065,0.05456359591335058,-5.34,-0.5799999999999997,-1.2799999999999998
000026,0.008219889365136623,0.0341695137321949,0.9049246311187744,0.8637845516204834,0.08685548603534698,0.10204596817493439,0.042389403097331524,0.18890145421028137,-5.23,-2.1433333333333335,-1.7840000000000003
000027,0.0016290009953081608,0.010333669371902943,0.9655945897102356,0.9726669788360596,0.03277643769979477,0.01699930429458618,0.011962670367211103,0.04977574199438095,-1.43,-0.7966666666666665,-0.836
000028,0.012883096933364868,0.08391053229570389,0.877641499042511,0.5872452259063721,0.10947538912296295,0.32884418964385986,0.09679362922906876,0.4383195787668228,-0.69,0.18000000000000002,-1.172
000030,0.03558463230729103,0.011459249071776867,0.9085244536399841,0.8589934706687927,0.05589092895388603,0.12954725325107574,0.0470438813790679,0.18543818220496178,-3.1,-1.32,-1.186
000036,0.08017782121896744,0.05859662964940071,0.849019467830658,0.8135845065116882,0.070802703499794,0.12781885266304016,0.13877445086836815,0.19862155616283417,-4.17,-1.4566666666666668,-1.45
000037,0.05588007718324661,0.06870020925998688,0.8557338118553162,0.8302223086357117,0.08838608860969543,0.10107745975255966,0.12458028644323349,0.1894635483622551,-5.08,-0.19999999999999987,-0.61
000039,0.16499750316143036,0.03466923534870148,0.574462354183197,0.8747848868370056,0.2605401575565338,0.0905458852648735,0.19966673851013184,0.3510860428214073,-3.58,0.4466666666666666,-0.908
000040,0.06354258954524994,0.04037706181406975,0.6302013397216797,0.599509060382843,0.30625611543655396,0.36011385917663574,0.10391965135931969,0.6663699746131897,-4.46,-2.03,-1.666
000042,0.02764853648841381,0.03599706292152405,0.9610176682472229,0.948162317276001,0.011333808302879333,0.015840638428926468,0.06364559940993786,0.0271744467318058,-1.08,-0.44333333333333336,-0.8460000000000001
000043,0.0223480686545372,0.09119513630867004,0.8516913652420044,0.8385331034660339,0.12596061825752258,0.07027171552181244,0.11354320496320724,0.19623233377933502,-1.32,-1.2366666666666666,-0.82
000045,0.04733201116323471,0.22533386945724487,0.9291092753410339,0.585728108882904,0.023558782413601875,0.18893812596797943,0.2726658806204796,0.2124969083815813,-3.92,-1.1733333333333331,-1.14
