,0-20170913-cnn_three_mean,0-20170927-cnn_one_mean,1-20170913-cnn_three_mean,1-20170927-cnn_one_mean,2-20170913-cnn_three_mean,2-20170927-cnn_one_mean,down,up,target_price_change1,target_price_change3,target_price_change5
000001,0.3369915187358856,0.2797742187976837,0.5582020282745361,0.5719135999679565,0.10480649024248123,0.14831222593784332,0.6167657375335693,0.25311871618032455,1.65,2.0966666666666667,1.258
000002,0.1123100072145462,0.022012239322066307,0.810551643371582,0.9141786098480225,0.07713840901851654,0.06380917876958847,0.1343222465366125,0.140947587788105,0.11,-0.7033333333333333,0.6000000000000001
000004,0.07608513534069061,0.062312278896570206,0.8682781457901001,0.8948882222175598,0.05563667416572571,0.042799532413482666,0.13839741423726082,0.09843620657920837,0.3,1.9200000000000002,2.708
000005,0.03146529942750931,0.020815597847104073,0.9598535299301147,0.9761360883712769,0.008681242354214191,0.0030483342707157135,0.05228089727461338,0.011729576624929905,0.87,0.1466666666666667,0.13200000000000003
000008,0.25589868426322937,0.04872517287731171,0.6255714297294617,0.8872758746147156,0.11852986365556717,0.06399897485971451,0.3046238571405411,0.18252883851528168,-0.56,-0.18333333333333335,0.248
000009,0.018483586609363556,0.03654414415359497,0.8631415963172913,0.9276115298271179,0.11837488412857056,0.0358443520963192,0.05502773076295853,0.15421923622488976,-0.37,-0.12333333333333334,-0.7
000010,0.049125153571367264,0.22683116793632507,0.9000822305679321,0.7163309454917908,0.0507926419377327,0.05683784559369087,0.27595632150769234,0.10763048753142357,-0.81,-1.7566666666666668,-1.15
000011,0.028353624045848846,0.10558091849088669,0.9370162487030029,0.5990589261054993,0.03463013097643852,0.29536017775535583,0.13393454253673553,0.32999030873179436,-0.53,-0.31666666666666665,-0.8539999999999999
000012,0.03162932023406029,0.04728036746382713,0.9067490100860596,0.9343797564506531,0.06162169948220253,0.018339894711971283,0.07890968769788742,0.07996159419417381,0.36,2.8799999999999994,1.286
000014,0.021320896223187447,0.010885966941714287,0.9639508724212646,0.9656341671943665,0.014728221110999584,0.023479824885725975,0.03220686316490173,0.03820804599672556,-0.12,0.003333333333333336,-0.074
000016,0.07749257236719131,0.26745307445526123,0.6835702657699585,0.6085325479507446,0.2389371693134308,0.12401442974805832,0.34494564682245255,0.3629515990614891,7.62,2.91,1.014
000017,0.04745600372552872,0.019418291747570038,0.9339166879653931,0.9655643701553345,0.01862735114991665,0.01501733623445034,0.06687429547309875,0.03364468738436699,-0.14,0.046666666666666655,-0.492
000018,0.034967903047800064,0.01506630890071392,0.8461942672729492,0.9314263463020325,0.11883783340454102,0.05350743979215622,0.050034211948513985,0.17234527319669724,-0.97,0.003333333333333336,-0.27599999999999997
000020,0.19141751527786255,0.40700647234916687,0.6603884100914001,0.45080652832984924,0.1481940746307373,0.1421869993209839,0.5984239876270294,0.2903810739517212,-2.08,-1.04,-1.502
000021,0.19225913286209106,0.09559053927659988,0.7594771385192871,0.8520472645759583,0.04826375097036362,0.05236212536692619,0.28784967213869095,0.10062587633728981,4.47,3.0100000000000002,0.9780000000000001
000022,0.11398697644472122,0.22647522389888763,0.8128159046173096,0.6756463646888733,0.07319718599319458,0.09787832945585251,0.34046220034360886,0.1710755154490471,-1.08,-0.15333333333333335,-0.466
000023,0.08098617196083069,0.0349179245531559,0.8155101537704468,0.7998307943344116,0.10350368916988373,0.16525132954120636,0.11590409651398659,0.2687550187110901,-2.25,-1.6633333333333333,-1.014
000025,0.08598985522985458,0.09101269394159317,0.8804541826248169,0.7940757870674133,0.03355596214532852,0.1149115115404129,0.17700254917144775,0.14846747368574142,1.01,-0.17666666666666667,-0.30400000000000005
000026,0.20664748549461365,0.14321689307689667,0.7595351338386536,0.8308736681938171,0.03381739556789398,0.025909418240189552,0.3498643785715103,0.059726813808083534,0.26,-0.4333333333333333,-0.05599999999999996
000027,0.005252222064882517,0.0028052206616848707,0.9768075346946716,0.9937630295753479,0.017940256744623184,0.0034316894598305225,0.008057442726567388,0.021371946204453707,0.0,-0.15666666666666665,-0.156
000028,0.06704670190811157,0.0788036584854126,0.7975946664810181,0.7747018337249756,0.13535858690738678,0.14649449288845062,0.14585036039352417,0.2818530797958374,0.84,-0.24666666666666662,-0.874
000030,0.028381595388054848,0.0303068608045578,0.9204209446907043,0.8529424667358398,0.051197342574596405,0.11675065755844116,0.05868845619261265,0.16794800013303757,0.12,0.35666666666666663,-0.07000000000000003
000032,0.04202652722597122,0.004922364838421345,0.685056209564209,0.8707000613212585,0.2729172110557556,0.12437762320041656,0.04694889206439257,0.3972948342561722,0.26,0.016666666666666607,-0.03200000000000003
000036,0.03530380129814148,0.011959387920796871,0.8560753464698792,0.6653419137001038,0.10862082242965698,0.3226986527442932,0.04726318921893835,0.4313194751739502,0.21,0.35333333333333333,0.984
000037,0.2963622808456421,0.08559815585613251,0.6765596866607666,0.7969604730606079,0.02707800269126892,0.11744134873151779,0.3819604367017746,0.1445193514227867,0.57,-0.7599999999999999,-0.10799999999999996
000039,0.027851514518260956,0.037459585815668106,0.8618543744087219,0.7860922813415527,0.11029405891895294,0.1764480620622635,0.06531110033392906,0.28674212098121643,1.29,1.2033333333333334,0.502
000040,0.10834429413080215,0.14573746919631958,0.7341020107269287,0.6848495006561279,0.15755364298820496,0.1694130152463913,0.25408176332712173,0.32696665823459625,0.65,0.85,0.28200000000000003
000042,0.1212933287024498,0.12411677837371826,0.8368759155273438,0.8178001046180725,0.04183078557252884,0.05808316543698311,0.24541010707616806,0.09991395100951195,0.57,-0.020000000000000018,0.06399999999999999
000043,0.07805401086807251,0.08577030897140503,0.8726383447647095,0.8340417146682739,0.04930763691663742,0.08018793910741806,0.16382431983947754,0.12949557602405548,-0.74,-0.15333333333333332,-0.22199999999999998
000045,0.4702685475349426,0.10859682410955429,0.38068610429763794,0.7946871519088745,0.1490454226732254,0.09671597182750702,0.5788653716444969,0.24576139450073242,-1.24,-1.14,-0.836
000046,0.01822757162153721,0.00899145845323801,0.9645687937736511,0.9652712941169739,0.017203619703650475,0.025737177580595016,0.02721903007477522,0.04294079728424549,0.0,0.17333333333333334,-0.154
000048,0.06581372022628784,0.02078239619731903,0.8997282385826111,0.9665647745132446,0.034458015114068985,0.012652757577598095,0.08659611642360687,0.04711077269166708,-0.12,-0.12333333333333335,-0.43599999999999994
000049,0.04895409569144249,0.027233559638261795,0.8194836974143982,0.9252653121948242,0.1315622627735138,0.04750107601284981,0.07618765532970428,0.1790633387863636,1.65,0.9666666666666668,-0.46399999999999997
000050,0.41202980279922485,0.3569212853908539,0.4933665096759796,0.5106027722358704,0.09460370242595673,0.13247601687908173,0.7689510881900787,0.22707971930503845,0.88,2.1533333333333333,1.6439999999999997
000055,0.026341663673520088,0.07459534704685211,0.935860812664032,0.8529844284057617,0.03779749199748039,0.07242026180028915,0.1009370107203722,0.11021775379776955,0.28,-0.046666666666666634,-0.744
000058,0.1055745780467987,0.22060295939445496,0.7193537354469299,0.5671334862709045,0.17507173120975494,0.21226352453231812,0.32617753744125366,0.38733525574207306,4.25,0.7599999999999999,-0.08600000000000003
000059,0.1415194720029831,0.23656338453292847,0.6811224818229675,0.7213125228881836,0.1773579865694046,0.042124032974243164,0.37808285653591156,0.21948201954364777,0.09,0.31333333333333335,-0.564
000060,0.041214391589164734,0.01371668092906475,0.7863755822181702,0.9302403330802917,0.1724099963903427,0.05604291707277298,0.054931072518229485,0.2284529134631157,0.27,-0.11333333333333329,-0.764
000062,0.021517295390367508,0.0045028869062662125,0.8892538547515869,0.9572769999504089,0.08922893553972244,0.038220033049583435,0.02602018229663372,0.12744896858930588,0.0,0.6533333333333333,-0.33
000063,0.047028735280036926,0.04947791248559952,0.5926583409309387,0.7345842123031616,0.3603130280971527,0.2159378081560135,0.09650664776563644,0.5762508362531662,6.49,3.7266666666666666,1.924
000065,0.14468823373317719,0.16936525702476501,0.800541877746582,0.7966305613517761,0.05476982519030571,0.03400420770049095,0.3140534907579422,0.08877403289079666,0.45,-0.7566666666666667,-0.762
000066,0.0754624754190445,0.018451910465955734,0.8173325657844543,0.8902684450149536,0.10720492154359818,0.09127966314554214,0.09391438588500023,0.19848458468914032,1.82,0.65,0.12200000000000007
000068,0.4913540184497833,0.056429728865623474,0.4332576096057892,0.9110493659973145,0.07538842409849167,0.03252093493938446,0.5477837473154068,0.10790935903787613,1.12,0.2700000000000001,0.32200000000000006
000069,0.4397159814834595,0.15173116326332092,0.4493992030620575,0.7063762545585632,0.11088482290506363,0.14189262688159943,0.5914471447467804,0.25277744978666306,1.93,0.5266666666666666,0.174
000070,0.0786639153957367,0.024625366553664207,0.8417386412620544,0.9201748967170715,0.07959744334220886,0.05519966036081314,0.1032892819494009,0.134797103703022,3.4,1.2866666666666666,1.074
000078,0.04884267598390579,0.029605504125356674,0.914326548576355,0.9359108209609985,0.03683074191212654,0.03448377177119255,0.07844818010926247,0.07131451368331909,-0.49,0.49666666666666676,0.17200000000000004
000088,0.13264255225658417,0.16778340935707092,0.7974328994750977,0.7833531498908997,0.0699244812130928,0.04886343330144882,0.3004259616136551,0.11878791451454163,0.23,0.2333333333333333,-0.22800000000000004
000089,0.031859301030635834,0.06617468595504761,0.8909876942634583,0.8154239654541016,0.07715300470590591,0.11840134859085083,0.09803398698568344,0.19555435329675674,0.44,0.5866666666666667,-0.242
000090,0.053092118352651596,0.06432857364416122,0.8178181052207947,0.8376739621162415,0.12908978760242462,0.09799746423959732,0.11742069199681282,0.22708725184202194,0.74,0.09666666666666664,-0.558
000096,0.03777771070599556,0.04267963021993637,0.9404579997062683,0.9299530386924744,0.021764246746897697,0.027367351576685905,0.08045734092593193,0.0491315983235836,-0.15,0.05000000000000002,0.20600000000000002
000100,0.36184781789779663,0.16177566349506378,0.47154179215431213,0.6370333433151245,0.16661041975021362,0.20119093358516693,0.5236234813928604,0.36780135333538055,5.47,1.49,0.372
000150,0.057991765439510345,0.24406734108924866,0.8183072805404663,0.6338995099067688,0.12370088696479797,0.12203309684991837,0.302059106528759,0.24573398381471634,1.72,2.1133333333333333,1.1
000151,0.05415889993309975,0.051510076969861984,0.8933424353599548,0.8892929553985596,0.05249861255288124,0.05919701233506203,0.10566897690296173,0.11169562488794327,-0.43,-0.8933333333333334,-0.842
000153,0.030255185440182686,0.10955354571342468,0.9102739691734314,0.8075432181358337,0.059470780193805695,0.08290325105190277,0.13980873115360737,0.14237403124570847,0.22,-0.32666666666666666,-0.772
000156,0.016584061086177826,0.007860002107918262,0.9485912919044495,0.9457326531410217,0.03482465445995331,0.046407364308834076,0.02444406319409609,0.08123201876878738,0.0,-0.33,-0.198
000157,0.03562721237540245,0.05953071638941765,0.9199272990226746,0.8886867165565491,0.044445570558309555,0.05178258195519447,0.0951579287648201,0.09622815251350403,0.0,0.15,-0.304
