,0-20170913-cnn_three_mean,0-20170927-cnn_one_mean,1-20170913-cnn_three_mean,1-20170927-cnn_one_mean,2-20170913-cnn_three_mean,2-20170927-cnn_one_mean,down,up,target_price_change1,target_price_change3,target_price_change5
000001,0.33061400055885315,0.2688818573951721,0.4828697144985199,0.3581271171569824,0.18651625514030457,0.37299108505249023,0.5994958579540253,0.5595073401927948,0.39,0.5166666666666667,2.056
000002,0.27049845457077026,0.12623736262321472,0.6306936740875244,0.6497530937194824,0.09880790114402771,0.22400952875614166,0.396735817193985,0.3228174299001694,5.32,2.29,1.346
000004,0.23164966702461243,0.36712461709976196,0.6589416265487671,0.5478688478469849,0.10940876603126526,0.08500650525093079,0.5987742841243744,0.19441527128219604,-2.22,4.083333333333333,2.212
000005,0.01719152182340622,0.015694163739681244,0.9792883992195129,0.9808268547058105,0.0035200861748307943,0.0034789550118148327,0.03288568556308746,0.006999041186645627,0.65,0.07333333333333335,-0.5640000000000001
000008,0.03491639345884323,0.05020061880350113,0.8704625964164734,0.9025634527206421,0.09462093561887741,0.0472358800470829,0.08511701226234436,0.1418568156659603,0.22,0.22999999999999998,-0.015999999999999993
000009,0.006201817188411951,0.03844483196735382,0.9467308521270752,0.9321372509002686,0.04706734046339989,0.02941790409386158,0.04464664915576577,0.07648524455726147,-2.62,-1.0866666666666667,-1.028
000010,0.10109606385231018,0.02416071482002735,0.8810076713562012,0.8939546942710876,0.017896268516778946,0.08188463747501373,0.12525677867233753,0.09978090599179268,1.37,-1.3066666666666666,-2.146
000011,0.11386998742818832,0.13571934401988983,0.8617806434631348,0.8544926047325134,0.024349354207515717,0.009788017719984055,0.24958933144807816,0.03413737192749977,-2.07,-1.4733333333333334,-2.064
000014,0.03047380968928337,0.04527530074119568,0.9611257910728455,0.9366074800491333,0.008400438353419304,0.018117107450962067,0.07574911043047905,0.02651754580438137,-0.5,-0.16666666666666666,-0.45199999999999996
000016,0.3272101581096649,0.28638285398483276,0.5884866118431091,0.4043416678905487,0.08430315554141998,0.3092755377292633,0.6135930120944977,0.3935786932706833,-4.81,-3.17,-2.11
000017,0.2527564465999603,0.056904688477516174,0.7220534682273865,0.9349802136421204,0.02519005350768566,0.008115025237202644,0.3096611350774765,0.033305078744888306,-2.6,0.30333333333333323,-0.9720000000000001
000018,0.0014535731170326471,0.021369844675064087,0.9742457866668701,0.9316054582595825,0.02430061809718609,0.04702470079064369,0.022823417792096734,0.07132531888782978,-1.25,-0.6033333333333334,-1.128
000021,0.12624523043632507,0.3025960624217987,0.8147884607315063,0.5113251805305481,0.05896642431616783,0.1860787272453308,0.4288412928581238,0.24504515156149864,-2.0,-1.346666666666667,-1.216
000022,0.011220370419323444,0.14306911826133728,0.6698957681655884,0.71648770570755,0.3188839256763458,0.14044319093227386,0.15428948868066072,0.4593271166086197,-0.89,-0.8433333333333334,
000023,0.04851635918021202,0.013517598621547222,0.9031269550323486,0.890079915523529,0.048356637358665466,0.09640257805585861,0.06203395780175924,0.14475921541452408,-0.17,-0.13,-0.624
000025,0.06648971885442734,0.03280029073357582,0.9115079045295715,0.9606000185012817,0.02200235240161419,0.006599739659577608,0.09929000958800316,0.028602092061191797,-0.9,-0.6233333333333334,-1.6940000000000002
000026,0.051226623356342316,0.025535529479384422,0.850662112236023,0.8773918151855469,0.09811118990182877,0.09707265347242355,0.07676215283572674,0.19518384337425232,-1.84,0.25333333333333324,-1.004
000027,0.0010523726232349873,0.006447612773627043,0.9933621883392334,0.976594865322113,0.005585464183241129,0.01695755310356617,0.00749998539686203,0.0225430172868073,-0.78,-0.4166666666666667,-0.7939999999999999
000028,0.07211628556251526,0.0670745000243187,0.75382399559021,0.7652035355567932,0.17405971884727478,0.16772198677062988,0.13919078558683395,0.34178170561790466,-1.84,-1.6666666666666667,-0.96
000030,0.11662726104259491,0.021732982248067856,0.8139474391937256,0.9203280806541443,0.06942535191774368,0.05793892592191696,0.13836024329066277,0.12736427783966064,-1.06,-0.47333333333333333,-0.978
