,0-20170913-cnn_three_mean,0-20170927-cnn_one_mean,1-20170913-cnn_three_mean,1-20170927-cnn_one_mean,2-20170913-cnn_three_mean,2-20170927-cnn_one_mean,down,up,target_price_change1,target_price_change3,target_price_change5
000001,0.010258449241518974,0.032374732196331024,0.7568761110305786,0.8296278119087219,0.23286549746990204,0.13799753785133362,0.04263318143785,0.37086303532123566,-0.62,1.0833333333333333,0.3099999999999999
000002,0.0056859469041228294,0.05752730369567871,0.8685290813446045,0.8781841397285461,0.1257850080728531,0.06428857892751694,0.06321325059980154,0.19007358700037003,-1.51,0.7733333333333333,2.322
000004,0.10843028128147125,0.009830189868807793,0.7770044803619385,0.9874535202980042,0.1145651787519455,0.0027163855265825987,0.11826047115027905,0.1172815642785281,-0.3,-0.040000000000000036,1.1300000000000001
000005,0.0015241452492773533,0.0008919619722291827,0.8671966195106506,0.9652934670448303,0.13127930462360382,0.033814627677202225,0.002416107221506536,0.16509393230080605,-0.41,-0.13333333333333333,0.044
000006,0.0037130413111299276,0.010047920048236847,0.9403142333030701,0.9013152718544006,0.05597279220819473,0.08863681554794312,0.013760961359366775,0.14460960775613785,-0.35,1.5733333333333333,2.036
000008,0.004447357729077339,0.02801305241882801,0.952603816986084,0.8272179365158081,0.04294885694980621,0.14476904273033142,0.03246041014790535,0.18771789968013763,-0.99,0.8333333333333334,0.43
000009,0.0034425309859216213,0.005908869672566652,0.8066386580467224,0.9609894752502441,0.1899189054965973,0.03310170769691467,0.009351400658488274,0.22302061319351196,0.12,0.9266666666666666,0.898
000010,0.002222970826551318,0.00293852505274117,0.919202983379364,0.9130788445472717,0.0785740315914154,0.08398260176181793,0.005161495879292488,0.16255663335323334,-0.4,0.5933333333333334,0.20000000000000004
000011,0.46436551213264465,0.09562191367149353,0.45401808619499207,0.7466096878051758,0.08161638677120209,0.15776829421520233,0.5599874258041382,0.23938468098640442,-1.21,-0.24333333333333332,-0.044
000012,0.007762690540403128,0.027018500491976738,0.8887661695480347,0.9055663347244263,0.10347113013267517,0.06741509586572647,0.034781191032379866,0.17088622599840164,-0.47,-0.23333333333333328,-0.13999999999999996
000014,0.007847475819289684,0.0019069700501859188,0.9487752914428711,0.9606637358665466,0.043377190828323364,0.03742925822734833,0.009754445869475603,0.08080644905567169,-0.18,-0.09999999999999999,0.04799999999999997
000016,0.024475473910570145,0.04097085818648338,0.9275282621383667,0.8774102330207825,0.047996338456869125,0.08161886781454086,0.06544633209705353,0.12961520627141,1.17,1.0533333333333332,0.5039999999999999
000017,0.002341736573725939,0.010381241329014301,0.8955298662185669,0.8967455625534058,0.10212837159633636,0.09287326037883759,0.01272297790274024,0.19500163197517395,-0.61,-0.45,-0.24400000000000005
000018,0.07815507054328918,0.020642612129449844,0.860333263874054,0.935774028301239,0.06151169538497925,0.04358329996466637,0.09879768267273903,0.10509499534964561,-0.62,0.30666666666666664,-0.332
000021,0.06360883265733719,0.1330195516347885,0.7960993647575378,0.6683993339538574,0.14029183983802795,0.19858114421367645,0.1966283842921257,0.3388729840517044,0.11,0.1166666666666667,-0.051999999999999956
000022,0.021808229386806488,0.14437420666217804,0.8726969957351685,0.8264665007591248,0.10549475252628326,0.029159225523471832,0.16618243604898453,0.1346539780497551,-0.47,-0.48,-0.712
000023,0.027756212279200554,0.055686526000499725,0.5400778651237488,0.6868716478347778,0.43216586112976074,0.2574418783187866,0.08344273827970028,0.6896077394485474,0.0,-0.5133333333333333,-0.5780000000000001
000025,0.03637100011110306,0.008172142319381237,0.923220157623291,0.9670586585998535,0.04040886461734772,0.024769190698862076,0.044543142430484295,0.0651780553162098,0.6,-0.04666666666666667,0.032
000026,0.011100122705101967,0.0075388760305941105,0.8629159927368164,0.8619415163993835,0.1259838491678238,0.1305195540189743,0.018638998735696077,0.2565034031867981,-0.08,-0.14,-0.21800000000000003
000027,0.00014593452215194702,0.00024663383373990655,0.9699203372001648,0.9847630858421326,0.029933741316199303,0.014990224502980709,0.00039256835589185357,0.04492396581918001,0.46,0.05333333333333332,-0.09000000000000001
000028,0.015345635823905468,0.003569775028154254,0.8951077461242676,0.9720118641853333,0.08954663574695587,0.024418331682682037,0.018915410852059722,0.11396496742963791,-0.01,0.73,-0.046
000030,0.029461828991770744,0.10754258185625076,0.8549490571022034,0.7992976307868958,0.11558915674686432,0.0931597426533699,0.1370044108480215,0.20874889940023422,0.66,0.003333333333333318,0.5740000000000001
000036,0.014019292779266834,0.0037378708366304636,0.8678513765335083,0.7082498669624329,0.11812935024499893,0.2880122661590576,0.017757163615897298,0.40614161640405655,1.23,-0.22666666666666666,-0.13199999999999998
000037,0.04904300719499588,0.05620907247066498,0.8340036273002625,0.8683228492736816,0.11695335805416107,0.07546807080507278,0.10525207966566086,0.19242142885923386,-0.54,-0.6433333333333332,-0.8479999999999999
000039,0.04525928571820259,0.0976417288184166,0.8189631700515747,0.7627156972885132,0.13577750325202942,0.1396426409482956,0.1429010145366192,0.275420144200325,0.32,0.03666666666666666,-0.22200000000000003
000040,0.025226667523384094,0.11540352553129196,0.8271648287773132,0.7990224361419678,0.1476084440946579,0.08557409793138504,0.14063019305467606,0.23318254202604294,-0.21,2.236666666666667,0.9360000000000002
000042,0.0242127925157547,0.05267339572310448,0.9301444292068481,0.8844397664070129,0.045642733573913574,0.0628868117928505,0.07688618823885918,0.10852954536676407,0.12,0.27666666666666667,0.272
000043,0.01349689718335867,0.004807119723409414,0.9653592705726624,0.9474722146987915,0.021143799647688866,0.047720640897750854,0.018304016906768084,0.06886444054543972,-0.28,0.10000000000000002,0.06000000000000001
000045,0.23511701822280884,0.1364629566669464,0.5477896928787231,0.30609238147735596,0.21709321439266205,0.55744469165802,0.37157997488975525,0.7745379060506821,-0.57,-0.7233333333333333,-0.05599999999999998
000046,0.0005383249372243881,0.004038904327899218,0.954733669757843,0.9727843999862671,0.04472798854112625,0.023176640272140503,0.004577229265123606,0.06790462881326675,-0.85,-0.3233333333333333,0.0020000000000000018
000048,0.020872630178928375,0.00545143149793148,0.8135954141616821,0.9499626159667969,0.1655319184064865,0.044585853815078735,0.026324061676859856,0.21011777222156525,-0.23,-0.20333333333333334,1.6580000000000001
000049,0.019333258271217346,0.05317848548293114,0.6770870685577393,0.6967295408248901,0.30357956886291504,0.2500919997692108,0.07251174375414848,0.5536715686321259,-0.49,1.6866666666666668,0.554
000050,0.05758996680378914,0.11106175929307938,0.7542595267295837,0.622096061706543,0.188150554895401,0.26684221625328064,0.16865172609686852,0.45499277114868164,0.81,-0.8333333333333334,-0.648
000055,0.012492899782955647,0.009144219569861889,0.8935182094573975,0.8858107328414917,0.09398886561393738,0.10504505783319473,0.021637119352817535,0.1990339234471321,1.17,0.13666666666666663,-0.04800000000000002
000056,0.049329809844493866,0.015585377812385559,0.8525845408439636,0.9397460222244263,0.09808570146560669,0.04466860368847847,0.06491518765687943,0.14275430515408516,-0.16,-0.5766666666666667,-0.54
000058,0.006632535252720118,0.009357561357319355,0.9081007838249207,0.927420973777771,0.08526679128408432,0.06322142481803894,0.015990096610039473,0.14848821610212326,-0.13,0.30666666666666664,1.206
000059,0.06755506992340088,0.0027742921374738216,0.8155785799026489,0.9764559268951416,0.11686630547046661,0.020769711583852768,0.0703293620608747,0.13763601705431938,0.77,0.8866666666666667,-0.18999999999999995
000060,0.1726083606481552,0.03239186853170395,0.7471271753311157,0.8190768361091614,0.08026444911956787,0.14853133261203766,0.20500022917985916,0.22879578173160553,1.0,0.4466666666666667,-0.43599999999999994
000062,0.07237116992473602,0.05705660581588745,0.6700909733772278,0.832919180393219,0.25753793120384216,0.11002422869205475,0.12942777574062347,0.3675621598958969,0.0,0.6433333333333333,0.18199999999999997
000063,0.08003214746713638,0.3082411587238312,0.782128095626831,0.5226900577545166,0.13783973455429077,0.1690688133239746,0.38827330619096756,0.3069085478782654,-0.75,0.71,0.518
000065,0.015462446957826614,0.0006326267030090094,0.7980554103851318,0.8700364828109741,0.18648208677768707,0.1293308138847351,0.016095073660835624,0.3158129006624222,-0.26,-0.39999999999999997,-0.398
000066,0.10430177301168442,0.023592771962285042,0.7652100324630737,0.95253586769104,0.13048820197582245,0.023871444165706635,0.12789454497396946,0.15435964614152908,0.83,1.5733333333333333,0.6039999999999999
000068,0.0540459007024765,0.06504180282354355,0.7289426326751709,0.8123541474342346,0.21701140701770782,0.12260395288467407,0.11908770352602005,0.3396153599023819,-0.58,-0.19333333333333333,-0.41
000069,0.030275678262114525,0.11042008548974991,0.7410447001457214,0.8145713210105896,0.22867968678474426,0.0750085711479187,0.14069576375186443,0.30368825793266296,-0.12,0.19333333333333336,0.8039999999999999
000070,0.029234005138278008,0.005369971040636301,0.9160286784172058,0.8541745543479919,0.054737262427806854,0.14045552909374237,0.03460397617891431,0.19519279152154922,0.28,0.25333333333333335,-0.25200000000000006
000078,0.004269777797162533,0.008873620070517063,0.8846075534820557,0.9618161916732788,0.11112266778945923,0.029310176149010658,0.013143397867679596,0.1404328439384699,0.33,0.16666666666666666,0.0019999999999999905
000088,0.04207923263311386,0.08472908288240433,0.7196478247642517,0.8234394788742065,0.238273024559021,0.09183134883642197,0.1268083155155182,0.33010437339544296,-0.32,0.07333333333333333,-0.061999999999999986
000089,0.007633524015545845,0.008562336675822735,0.9041136503219604,0.9502360820770264,0.08825279027223587,0.04120153933763504,0.01619586069136858,0.1294543296098709,-1.23,-0.6733333333333333,-0.404
000090,0.05389280244708061,0.04548472911119461,0.8266562223434448,0.7917229533195496,0.11945094913244247,0.16279231011867523,0.09937753155827522,0.2822432592511177,-1.07,-0.23666666666666672,-0.388
000096,0.004722433630377054,0.004639057442545891,0.9103198051452637,0.9516032338142395,0.0849577933549881,0.043757759034633636,0.009361491072922945,0.12871555238962173,-0.14,-0.07,0.702
