,0-20170913-cnn_three_mean,0-20170927-cnn_one_mean,1-20170913-cnn_three_mean,1-20170927-cnn_one_mean,2-20170913-cnn_three_mean,2-20170927-cnn_one_mean,down,up,target_price_change1,target_price_change3,target_price_change5
000001,0.04881953075528145,0.2464539259672165,0.771345317363739,0.5830470323562622,0.17983512580394745,0.1704990118741989,0.29527345672249794,0.35033413767814636,-0.96,-0.5266666666666667,-0.24200000000000008
000002,0.16763809323310852,0.14894501864910126,0.7498115301132202,0.7181234955787659,0.08255033195018768,0.13293145596981049,0.3165831118822098,0.21548178791999817,6.99,3.0,2.292
000004,0.0220617838203907,0.02580195479094982,0.9220919609069824,0.9032160043716431,0.05584627762436867,0.07098208367824554,0.04786373861134052,0.1268283613026142,0.84,-0.10666666666666665,-0.2819999999999999
000005,0.1330001950263977,0.36407390236854553,0.6717269420623779,0.5748103857040405,0.19527287781238556,0.061115726828575134,0.49707409739494324,0.2563886046409607,-0.95,0.003333333333333336,0.156
000008,0.03952372074127197,0.03800258785486221,0.9141104817390442,0.9220548868179321,0.04636583477258682,0.03994257375597954,0.07752630859613419,0.08630840852856636,1.68,3.643333333333333,1.9259999999999997
000009,0.1660347431898117,0.07642897963523865,0.5273939371109009,0.5809230804443359,0.30657127499580383,0.3426479995250702,0.24246372282505035,0.649219274520874,-2.49,-0.02000000000000009,-0.29800000000000015
000010,0.015617039985954762,0.0782494843006134,0.9261831045150757,0.8767794966697693,0.0581999309360981,0.04497099667787552,0.09386652428656816,0.10317092761397362,0.0,0.19666666666666668,0.19800000000000004
000011,0.25768089294433594,0.02638670988380909,0.5695014595985413,0.9290405511856079,0.17281775176525116,0.04457281529903412,0.284067602828145,0.21739056706428528,0.96,0.42333333333333334,0.22800000000000004
000012,0.0032192778307944536,0.007670129183679819,0.9633650183677673,0.9698726534843445,0.03341573849320412,0.022457264363765717,0.010889407014474273,0.05587300285696983,1.95,0.5033333333333333,-0.12799999999999997
000014,0.07705456018447876,0.12131744623184204,0.904403567314148,0.8657553791999817,0.018541790544986725,0.012927228584885597,0.1983720064163208,0.03146901912987232,0.41,0.023333333333333317,0.12
000016,0.01569489575922489,0.04608612135052681,0.48033344745635986,0.8715572953224182,0.5039716362953186,0.08235660940408707,0.0617810171097517,0.5863282456994057,2.88,0.7399999999999999,0.24599999999999994
000017,0.005351676605641842,0.003273261711001396,0.9574904441833496,0.9787114262580872,0.03715796396136284,0.018015403300523758,0.008624938316643238,0.0551733672618866,-0.74,-0.2866666666666667,-0.346
000018,0.002171220723539591,0.005034990143030882,0.8633682727813721,0.969484269618988,0.13446044921875,0.025480734184384346,0.007206210866570473,0.15994118340313435,0.51,-0.16666666666666666,0.10400000000000001
000020,0.013268102891743183,0.02511822246015072,0.7415253520011902,0.8177394866943359,0.2452065497636795,0.15714232623577118,0.0383863253518939,0.4023488759994507,-1.38,-0.6333333333333332,0.11800000000000006
000021,0.014695292338728905,0.007398940622806549,0.688098669052124,0.8686591982841492,0.2972061038017273,0.12394191324710846,0.022094232961535454,0.42114801704883575,-0.44,-0.10666666666666665,0.8880000000000001
000022,0.17650079727172852,0.003715918865054846,0.5734539031982422,0.9657467007637024,0.2500452995300293,0.030537428334355354,0.18021671613678336,0.28058272786438465,0.63,-0.15999999999999998,-0.328
000023,0.2635287344455719,0.010882552713155746,0.6394957304000854,0.9022926092147827,0.09697547554969788,0.08682486414909363,0.27441128715872765,0.1838003396987915,-0.04,0.10999999999999999,-0.296
000025,0.2503909170627594,0.00671763438731432,0.717011570930481,0.9385870695114136,0.03259758651256561,0.05469522625207901,0.2571085514500737,0.08729281276464462,-1.72,-1.1466666666666667,-0.5439999999999999
000026,0.010644463822245598,0.003095676191151142,0.9064489006996155,0.9411765933036804,0.08290664106607437,0.0557277649641037,0.01374014001339674,0.13863440603017807,-0.67,0.14333333333333334,0.138
000027,0.0011629288783296943,0.004219928290694952,0.9563096761703491,0.9709867835044861,0.04252735152840614,0.024793371558189392,0.005382857169024646,0.06732072308659554,0.0,0.0,-0.092
