,0-20170913-cnn_three_mean,0-20170927-cnn_one_mean,1-20170913-cnn_three_mean,1-20170927-cnn_one_mean,2-20170913-cnn_three_mean,2-20170927-cnn_one_mean,down,up,target_price_change1,target_price_change3,target_price_change5
000001,0.04533703997731209,0.008405214175581932,0.8363907933235168,0.9085854887962341,0.11827222257852554,0.08300936967134476,0.05374225415289402,0.2012815922498703,1.65,2.21,0.652
000002,0.043541472405195236,0.01625940389931202,0.9418028593063354,0.9454605579376221,0.01465574000030756,0.03828003257513046,0.059800876304507256,0.05293577257543802,0.48,1.5233333333333334,0.804
000004,0.008372061885893345,0.011496471241116524,0.6815405488014221,0.6828640699386597,0.3100873827934265,0.3056394159793854,0.01986853312700987,0.6157267987728119,1.16,0.7866666666666666,0.6679999999999999
000005,0.0979807898402214,0.07745790481567383,0.8367491960525513,0.8414642214775085,0.06527011841535568,0.08107785880565643,0.17543869465589523,0.14634797722101212,0.0,0.13333333333333333,0.08
000006,0.02340223826467991,0.026069289073348045,0.927379846572876,0.8754549026489258,0.049217868596315384,0.09847582876682281,0.049471527338027954,0.1476936973631382,1.09,0.5233333333333333,0.41600000000000004
000008,0.011670667678117752,0.04617719352245331,0.9047285914421082,0.8654798269271851,0.0836007297039032,0.08834294229745865,0.05784786120057106,0.17194367200136185,0.12,-0.45,-0.09400000000000001
000009,0.008838022127747536,0.03275695815682411,0.6464524865150452,0.9132735729217529,0.3447095453739166,0.05396942421793938,0.04159498028457165,0.398678969591856,0.59,0.8933333333333332,0.12199999999999993
000010,0.026608146727085114,0.02903030626475811,0.8033987283706665,0.908572256565094,0.16999320685863495,0.06239742040634155,0.055638452991843224,0.2323906272649765,0.4,0.6633333333333334,0.31800000000000006
000011,0.04026805981993675,0.014866478741168976,0.8882418274879456,0.9180900454521179,0.07149015367031097,0.06704354286193848,0.05513453856110573,0.13853369653224945,1.02,1.43,1.3179999999999998
000012,0.04052348807454109,0.011314318515360355,0.9126596450805664,0.9343527555465698,0.046816881746053696,0.05433287099003792,0.05183780658990145,0.10114975273609161,1.19,0.71,0.426
000014,0.038342513144016266,0.06931790709495544,0.936591386795044,0.8661306500434875,0.025066036731004715,0.06455140560865402,0.10766042023897171,0.08961744233965874,0.66,0.38000000000000006,0.302
000016,0.016546014696359634,0.013557512313127518,0.8971734046936035,0.863351047039032,0.08628062903881073,0.12309145927429199,0.030103527009487152,0.20937208831310272,5.99,1.5,1.1019999999999999
